X,y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40,y41,y42,y43,y44,y45,y46,y47,y48,y49
x27,328,"1,176","7,883","4,221","1,819","3,054",149,"1,718","8,277",554,"79,3","76,6","6,687","8,838","1,829","8,894","5,973","9,143","7,707","2,172","7,118","87,4","4,799","9,938","9,353",8,7,8,3,2,8,8,8,7,1,4,6,5,1,3,6,7,1,4,5,8,0,0,3,5
x28,126,"6,379","6,108","4,573","2,108","3,207","8,892","9,838","9,736","3,239","6,024","4,557","3,345","3,485","1,606","8,662","2,922","4,689","2,382","5,837","4,541","2,572",707,"42,4","18,5",2,5,0,5,3,6,4,2,8,1,0,3,0,7,3,1,2,5,6,6,1,4,3,7,0
x29,"6,706","3,992","4,348","4,277","5,684","2,615","3,299","4,894","9,185","6,706","5,687","6,565","9,903","9,271","9,113","7,195",909,"8,258",13,"3,556","7,014","8,694","2,4","1,594","9,045",8,8,8,7,0,8,6,7,5,8,8,4,3,2,0,8,5,3,5,5,6,2,2,1,3
x30,"8,345",967,"7,167","9,655","57,9","8,103","4,325","8,533",217,"6,345",7,"9,099","1,618","4,847","2,231","5,894","7,107","4,177",747,"5,239","6,665","3,024","9,931","8,924","4,438",2,1,6,6,2,6,4,4,6,6,7,0,1,6,0,4,1,5,7,5,7,4,5,1,2
x31,449,"1,676","2,068",568,"2,791","2,341","4,886","1,436","5,468","6,269","8,563","52,9","2,608","8,273","2,579",488,"76,3","8,343","5,441","9,628","2,368","6,779","2,247","5,367","68,8",1,3,3,5,0,4,8,6,1,2,8,1,7,2,8,7,1,8,6,6,8,0,3,4,8
x32,"4,873","2,391","4,758","8,343",395,143,"7,212","3,527","6,381","9,556","3,057","84,6","9,521","25,2",562,"9,534",428,"2,171","6,683","2,093","8,104",269,"3,791","2,271","3,617",8,5,0,7,6,6,2,2,4,3,4,6,3,7,4,1,2,5,1,3,0,1,7,2,4
x33,"9,196","2,712","2,074",899,"1,6","2,353","4,807","3,503","8,367","5,619","7,991","7,743","2,112","1,812","2,934","4,561","1,158","4,843","2,968","5,434","4,937","3,905","4,344",692,376,7,5,0,7,1,0,0,6,6,6,7,6,6,4,6,2,1,2,5,8,5,1,4,8,5
x34,"6,255","1,322","7,055","6,7",564,"9,705","17,9","6,241","5,457","2,768","4,604","8,355",235,"6,642","1,822","4,522","9,644","6,359","6,785",103,"2,364","9,944","8,653","5,835","4,561",2,7,5,1,3,2,8,3,2,3,7,5,2,4,4,2,3,3,0,2,4,7,2,5,6
x35,"9,789","1,037","5,884","85,3","8,739","2,259",961,"1,954","1,739","3,466","5,049","5,233","3,519","4,634","7,498","54,4","5,555","5,857","5,434","0,37","4,677","7,574","58,9","6,882","8,5",0,0,1,7,8,2,8,1,8,5,3,2,3,3,6,4,8,5,2,2,8,6,1,2,3
x36,"3,519","48,3","6,736","4,588","5,082","6,628","16,3","20,2",155,"2,986","6,555","1,287","1,956","9,806","4,531","3,289","3,2",891,"9,544","7,425","5,511","9,291","7,008","6,185","11,9",5,8,3,0,6,5,3,1,5,8,5,3,7,6,4,2,0,1,2,2,7,3,8,6,8
x37,"7,868",948,"2,483","5,596","6,933","9,775","5,394","1,769","84,8","3,992","2,327","5,196","7,412","2,626","3,921","8,715","8,686","8,145","9,821","7,956","3,648","1,551","9,772","49,9","28,6",5,6,6,0,8,3,7,4,8,8,4,5,6,6,7,7,4,1,0,6,5,8,2,3,4
x38,"1,097","5,086","2,388","6,587","1,038","81,9","8,763","53,9","8,495","8,672","1,969","5,715","8,661","9,258","3,603","6,976","7,972",342,"6,065","3,363","2,101","8,882","3,448","2,371","5,566",7,6,8,6,5,7,5,7,1,8,8,8,3,6,3,3,3,1,1,5,3,8,1,7,4
x39,"7,799","2,175","76,1","6,216","8,199","4,197","1,688","7,831","2,872","7,211","28,5","5,929","5,042","4,891","9,828","8,192","88,8","8,329","7,008","79,9","40,7","35,4","27,8","85,5","7,748",8,1,8,3,5,7,6,7,6,1,0,6,0,0,3,7,1,7,4,4,0,1,4,3,3
x40,"9,051","2,651","7,294","8,374","7,922","8,497","6,581",921,"1,114","9,538","3,626","4,262","4,914","7,525","1,885","8,239",221,"2,673","23,1","5,722","7,297","3,369","4,289","6,957","6,823",0,0,0,0,5,1,8,5,6,6,0,2,8,4,1,6,4,6,1,2,0,5,0,2,7
x41,"3,372","4,838","6,783","3,527","3,195","48,5","7,711","7,972","4,537","5,721","9,585","9,662","8,752","9,682","8,894","1,268","8,007","7,607","7,389","5,408","2,416","8,687","8,701","8,963","6,876",6,5,8,0,0,3,1,8,1,8,4,7,0,4,4,4,1,3,7,2,2,2,4,2,6
x42,"3,154","8,545","5,916","2,084","4,934","9,119","4,522","5,698","7,693","3,989","5,381","0,05","2,057","1,028","2,525","7,206","5,935","6,047","7,981","6,901","5,645","1,453","9,356","2,392",131,0,6,3,1,3,0,4,0,0,3,1,6,7,8,6,7,3,6,8,4,8,1,8,4,5
x43,"3,941","8,879","9,643","3,194","6,052","5,895","7,382","1,275","6,484","2,286","9,361","5,789","4,633","7,121","8,225","87,4","83,2","7,828","3,856","1,904","4,937","2,764",962,"3,376","1,948",7,7,7,0,4,3,5,6,2,6,3,4,6,2,3,6,3,7,4,2,0,1,8,8,2
x44,"2,077","7,167","7,673","8,525","9,967","6,191","7,941",836,"7,689","1,581","6,257","7,291","30,1","7,002","45,4",889,"6,933","1,507","7,619","46,6","5,246","7,6","9,912",635,"2,661",5,3,0,3,2,8,5,3,8,7,0,6,4,6,1,5,8,3,7,3,4,3,1,0,6
x45,"3,815","4,132","3,367","5,265","5,125","43,1","9,434","6,409","14,8",685,"1,389","9,745","1,212","39,7","5,099","1,185","5,461","7,752","4,743","36,8","8,792","9,795","8,888","4,723","8,438",0,8,0,6,2,5,5,5,1,2,1,6,1,1,6,0,1,2,7,5,6,8,0,8,3
x46,"3,851","5,922","1,495","7,894","4,438","3,087","60,8","9,569",81,"1,4","6,368","4,111","5,419","1,256","3,928","5,263","6,163",496,"1,193","3,851","77,3","8,512","4,735","1,857","6,737",4,5,1,6,1,2,2,2,1,3,6,5,5,4,8,1,8,1,3,5,6,8,0,1,0
x47,"5,615","8,869","64,3","3,313","3,907","6,449","2,177","4,959","22,9","6,806","9,693","1,655","5,016","8,301","7,846","3,379",775,"7,378","6,803","2,398",646,"7,665","6,194",794,"3,283",8,0,1,1,0,7,0,8,0,4,8,3,7,0,6,2,1,8,8,3,4,3,5,0,7
x48,"2,026","2,913","5,736","5,861","4,557","31,9","4,407",492,"4,549","9,035","2,258","2,258","2,258","2,258","9,656","6,296",77,"7,105","2,537","12,5","4,746","15,1","2,993","6,247","4,736",7,1,8,6,6,7,3,4,3,6,2,1,5,4,5,8,4,2,0,0,4,4,2,4,2
x49,"9,414",306,"8,2","6,966","9,106","4,191","8,093","9,316","3,796","6,397","9,718","8,134","9,515","1,941","9,392","7,234","7,606","1,436","9,074","2,451","3,857","7,022",442,"6,793","9,236",5,0,7,5,0,7,0,3,2,0,5,4,1,2,7,1,8,2,4,6,8,6,1,5,3
x50,"3,268","7,865","9,433",603,"6,336","5,024","2,095",744,"9,251","1,267",48,"7,186","4,515","7,115","8,338","8,728","1,107","8,672","6,961","9,133","3,233","8,351","5,057","4,251","0,21",0,1,5,7,6,6,3,0,5,2,2,1,0,5,5,4,5,6,7,6,8,8,0,2,7
x51,"6,958",91,"3,285","27,7","1,299","2,311","5,334","7,994",243,50,"1,959","55,2","9,466","7,576",423,"3,558","4,891","1,583","2,167","67,6","7,352","6,236",397,"2,614","7,826",0,7,0,4,6,7,6,6,6,8,1,4,7,8,6,7,1,6,2,5,8,1,8,6,1
x52,"2,775","2,034","2,114",856,"9,555","8,946","6,607","5,125","6,576","7,591","7,176","7,772","6,691","5,083","9,843","9,307","8,341","8,713","1,331","3,968",236,"5,619","4,388","4,466","1,378",3,4,7,4,2,2,8,7,8,5,3,4,5,3,3,1,8,4,8,0,7,5,1,2,6
x53,"4,445","7,683","7,105","5,247","5,634",953,"4,402",513,778,"8,259","7,005","7,531","9,746","4,641","1,635",894,"1,912","60,9","1,911","6,408","4,785","9,156","1,362","2,464","59,5",0,6,2,5,2,4,2,7,6,1,0,1,0,1,6,2,3,7,4,2,1,8,7,6,5
x54,"60,1","6,622","8,449","99,2","7,004","8,181",796,"8,769","8,805","5,708","82,6","1,322",19,"5,204","3,939","41,1",632,"6,848","8,879","6,204","3,947","3,779","8,853","3,055","4,729",6,2,3,0,2,3,3,1,3,5,6,8,1,0,8,2,5,8,7,2,7,7,5,1,2
x55,696,"9,875","11,8","1,871","1,717","9,168","9,458","6,735","3,787","1,366","7,076",742,"3,132","7,261","8,882","5,772","8,244",30,"2,282","5,671","5,333","2,935","9,986","5,104","2,419",2,6,3,0,8,1,0,3,4,7,3,4,8,0,8,7,2,0,3,3,4,1,3,6,5
x56,"5,715","9,573","2,896",393,"5,407","9,426","6,507","7,791","1,903","3,036","9,512","3,631","7,175","3,158","1,938","1,105","4,899","3,581","4,697","6,893","5,907","1,898",52,"94,9","3,875",0,1,6,8,4,1,7,1,8,1,8,2,4,3,2,3,7,0,0,7,3,5,2,0,8
x57,969,"5,862","5,568","90,5","4,941","6,743","1,935",658,"4,258","2,745","4,753","9,322","56,5","69,9","4,656","8,384","1,253","7,259","38,1","1,624","8,721","1,592",245,"96,2","7,159",5,4,3,7,2,7,5,3,8,5,2,4,2,4,2,4,0,3,5,3,7,5,3,5,2
x58,"6,531","3,036","6,287","1,701","8,451","7,438","9,862","5,674","4,847","5,159","7,258","5,379","7,465","5,072",929,"30,1","7,968","5,2","5,156","3,573",243,"1,955",117,"4,324","5,759",3,7,4,4,2,1,2,0,0,2,0,6,3,3,7,7,6,8,2,2,0,5,0,1,8
x59,"44,8","8,724","3,516","13,9","4,855","8,483",518,"79,7","7,187","1,021","9,867","73,6","4,536","2,998",396,"7,369","5,825","1,167","2,8","8,502","4,393","8,511","5,764","6,2","9,716",3,2,3,6,6,6,1,8,3,3,6,2,5,2,7,2,2,6,8,5,1,2,5,7,7
x60,"9,695","8,378","3,147","9,137","9,471","2,956","5,055",173,"2,355","4,769","33,7","75,6","9,733","5,441","0,17",42,"8,857","3,031","2,514","1,981","7,587",371,766,"35,9","9,188",5,4,0,0,0,6,1,4,5,0,7,6,0,0,1,6,3,4,6,3,3,3,5,4,0
x61,"1,396","97,4","3,507","7,637","2,578","4,478","4,149","3,336","4,968","7,325","7,348","8,659","5,939","3,779","7,363","5,771","2,316","7,753","9,913","3,006","1,588","4,058","2,685","8,997","1,891",0,1,1,6,8,5,4,6,8,1,2,5,1,8,0,2,3,7,3,1,0,0,8,2,3
x62,"68,7","3,515",878,"8,528","9,895","0,55","6,741","1,816","2,729",579,"6,141","2,187","9,818","8,661","7,567","2,033","3,3","2,176","7,366","5,266","4,672","3,361",22,"7,155","5,432",1,1,4,0,3,5,4,5,5,6,0,2,3,8,1,8,5,2,8,3,4,1,6,7,0
x63,"67,3","85,7","9,223","9,537","4,953",498,"9,478","6,673",452,91,"8,174","3,491",781,"5,373","9,032","9,652","4,5","5,795","1,896","6,686","19,8","59,4","1,706","5,616","1,078",4,1,7,8,0,0,1,1,6,6,2,1,2,7,3,1,2,7,0,7,3,7,8,6,1
x64,"9,326","2,239","4,397","9,953","2,492","3,177",119,"8,462","3,097","4,736","6,407","6,235","6,626","5,208","3,221",667,"3,801","16,3","8,438","1,034","8,057","2,724","9,521","6,704","4,491",4,1,0,3,0,6,3,6,5,6,3,3,7,4,6,7,6,0,8,0,1,5,2,4,4
x65,"4,714","9,792","7,069","8,471","2,893","6,521","4,906","7,587","1,232","4,975","4,179","3,925","6,756","1,973",9,436,"3,803","9,388","2,181","1,444","7,444","7,037","3,325","4,493","68,4",7,4,7,5,7,6,4,4,3,2,6,3,3,6,8,7,3,6,7,0,8,0,0,2,8
x66,61,"8,305","5,382","7,881","4,149","9,931","7,066","8,883","4,476","4,541","7,3","8,923","5,971","2,632","8,093","9,775","7,882","5,095","1,407","9,709","8,311","7,356","91,7",105,62,7,3,8,1,0,4,7,8,5,2,7,8,8,7,8,7,0,2,3,8,6,4,0,0,5
x67,"85,4","2,089","7,521","8,466","5,168","5,276","6,151",592,"8,486","3,879",665,"5,202","59,9","5,891","8,424","4,155","6,493","2,692","2,867","4,373","9,467","9,759","3,888","2,152","9,023",4,2,7,5,0,8,4,3,0,4,4,3,8,5,1,3,2,3,3,5,0,2,4,2,6
x68,"92,6","3,202","1,529","6,408","8,317","3,524","63,8","6,173","5,901","8,825","9,939","1,722","0,44",33,"1,715","3,306","0,81","9,334","4,223",988,"2,124","4,571","8,222","69,3","1,338",7,3,3,6,4,8,6,4,6,4,0,7,8,8,3,5,8,7,2,8,7,0,0,6,2
x69,"2,8","1,805","4,624","4,378","4,199","7,858",634,326,"1,678","2,438","2,438","2,438",41,"9,295","3,419","8,324","6,984","8,124","1,164","5,997","1,635","6,857",303,"2,055","9,955",2,2,5,2,0,1,0,7,1,7,2,4,5,5,5,5,6,2,4,1,2,8,7,2,8
x70,"8,515","2,928","6,579","3,788","7,604","5,129","5,552","86,4","52,7","5,549","2,235","9,324","6,088","7,858","5,192",892,"2,866","7,144","5,539","9,201","5,008",319,"1,055","37,5","3,341",0,3,1,8,1,8,2,2,3,3,7,7,0,6,1,5,3,7,6,4,3,6,5,6,8
x71,"5,697","8,936","9,221","6,474",678,"4,941","5,677","8,694","6,628","1,316","7,492","2,983","8,113","4,331","7,023","1,028","9,804","9,343",973,"2,951",396,"4,279","2,342","2,023","2,465",7,8,2,6,7,8,7,4,5,2,3,0,7,6,7,2,1,5,6,8,3,6,5,6,0
x72,"1,595","1,1","9,878","3,435","8,531","1,702","1,949","8,547",345,"6,721","3,135","1,903",936,"1,434","6,3","9,603","87,5","8,328","6,836",544,"6,785","5,413","5,727",339,"4,867",5,7,1,7,8,6,0,0,2,0,2,2,1,7,6,1,5,1,1,8,3,2,8,6,2
x73,"8,961","7,646","8,392","4,778","6,703","5,966","5,344","8,832","7,984","6,216","91,2","5,605","22,1","2,593","15,3","9,946","8,206","3,931","8,613","72,2","7,777","7,291","3,089","2,163","4,045",2,6,6,3,6,3,3,5,8,2,3,1,8,4,6,3,7,3,0,3,0,6,2,3,6
x74,"2,016","4,097",279,"5,467","9,982","8,731","7,142","9,067","6,6","1,201",974,"9,596","8,178","5,692","3,614","5,467","5,772","3,098","8,602","4,864","4,666","8,638","4,678","2,807",915,2,5,2,4,5,2,6,5,1,1,5,8,3,2,8,8,4,3,1,3,2,8,7,5,0
x75,"9,052","3,273","7,472","6,242","3,479","7,228","8,506","3,316","2,406","3,544",555,"1,959","3,919",612,"6,519","7,163","5,032","56,1","1,784","7,816","4,578",523,"3,737",969,"9,432",4,1,0,0,5,2,5,5,2,8,1,3,2,3,5,8,6,8,7,5,6,2,4,2,0
x76,"5,959","4,431","13,4","8,972","8,184","1,008","81,1","6,993","7,949","7,103","6,529","3,671","34,9","38,4","4,606","8,044","5,961","7,493","1,999","1,286","4,933","4,491",727,"6,419","7,728",2,1,2,0,3,1,4,4,4,3,5,8,3,5,3,3,3,1,5,5,5,8,7,1,4
x77,"6,321","5,974","1,173","4,455","2,591","2,661","6,832","7,547","1,944",172,"7,424","3,141","3,453",988,"2,146","3,933","4,636","3,943","9,729","8,315","91,1","91,4",367,829,"8,257",1,1,3,6,2,6,4,0,1,3,4,2,5,8,8,7,6,2,1,1,7,8,7,8,1
x78,"2,549","7,717","8,129","3,929","1,496","4,763","3,839","1,859","3,639","4,914","6,764","3,213","5,818","1,335","1,696","3,079","7,396","1,809","3,657",416,"73,3","8,586","5,031","2,713","6,193",3,1,4,2,6,6,2,2,8,3,4,7,2,6,4,7,3,1,1,2,6,0,1,0,4
x79,"9,405","6,669","0,06","88,7","9,729","5,002","14,8","32,8","9,332","7,369","7,047","6,368","6,291","7,255",993,"1,852","9,397","1,079","1,029","8,578","3,881","2,449","6,422","4,972","81,2",7,5,2,2,5,6,1,0,0,2,4,2,8,8,3,6,5,0,7,8,1,6,6,4,0
x80,"8,128","8,025","72,6","6,141","4,469","4,849","2,197","1,149",334,"1,832","7,357","4,243","2,032","2,331","2,246","5,695","9,981",592,"2,194","6,236",702,"2,558","2,212","62,1","4,571",4,7,4,0,3,2,3,5,6,6,3,5,4,5,4,2,8,3,2,2,3,0,6,8,5
x81,"8,455","4,275","7,195","1,037","1,471",553,"3,274","7,592","19,2","1,583","9,556","8,254","3,643","2,044","6,105","7,048","4,426","1,102","9,949","8,142","3,303","4,637","7,127","5,403","6,434",3,7,6,0,1,4,5,7,4,8,5,5,8,6,0,2,0,6,7,0,2,7,3,2,1
x82,"3,076","2,137","4,544","7,839","11,7","1,614","1,833","5,428","3,881","8,1","4,743","8,484","7,144","9,829","6,897","3,069","8,266","1,338","73,8","1,099","4,039",875,"7,838","7,205","6,112",2,6,2,4,7,4,1,7,7,8,2,3,3,5,3,4,4,5,1,2,2,7,8,5,0
x83,"7,942","5,827","9,274","5,335","2,029","65,3","8,964","6,824",492,"9,343","8,818","9,982","2,442","1,454","9,291","7,414","54,9","6,193","8,628","1,594","6,242","4,914","3,084","1,144","3,051",5,1,5,3,1,5,4,8,6,6,0,0,8,2,8,2,8,0,5,1,7,6,8,4,3
x84,887,"3,944","2,511","7,286","1,815","24,2","9,051","6,153","3,083","1,977","7,932",865,"3,605","9,104","3,285","1,523","2,713","5,769","2,915","6,145","5,453","54,9","9,147","6,557",614,0,8,5,4,5,2,7,0,4,5,0,0,4,4,0,0,1,2,5,4,5,5,0,8,1
x85,644,"8,418","5,318","8,418","7,936","0,03","2,674","4,326","6,446","6,038","51,6","9,214","6,502","1,716","36,7","3,354","8,406","9,694","4,322","9,719","7,667","2,107","1,738","8,099","9,388",0,6,1,3,3,1,8,1,7,3,6,8,7,2,1,1,1,4,1,6,2,8,8,7,3
x86,"5,893","89,1","2,894","4,337","9,363","88,8","5,229","4,548","3,859","3,303","3,351","9,392","8,663","4,503",972,"4,178","17,4","3,967","3,936","1,546","8,411","7,974","1,463",222,"9,682",8,1,4,8,0,4,6,5,5,6,7,0,4,4,2,7,1,7,0,3,0,7,7,4,5
x87,"5,339",902,"4,728","7,353",337,"4,224","3,673","4,976",795,"2,079","9,548","6,821",47,"3,298","1,024","6,821","9,874","9,572","4,512","6,001","2,871","1,792","1,146","7,201","6,243",1,6,3,2,2,0,1,8,5,6,6,7,7,8,5,3,4,3,1,4,1,2,1,3,6
x88,"1,592","9,677","2,618","5,809","3,492","26,3",133,"5,798","4,632","3,194","9,621","4,6","4,964","29,5","1,094","6,412","1,754","25,2","1,892","3,642","2,421","4,015","5,096","2,163","6,554",6,2,8,2,1,0,5,4,4,0,5,3,5,1,6,3,1,7,1,0,0,2,5,4,5
x89,"6,773","31,7","5,233","2,388","9,414","34,3","4,978","4,188","8,743","5,399","61,6","7,911","1,209","4,254","4,518",33,354,"6,181","4,555","5,061","5,505","5,455","3,198","2,463","5,914",7,6,4,8,7,2,7,4,5,1,3,0,0,4,3,0,7,7,8,5,1,8,2,6,6
